id,name,value,date_field
1,Alpha,125.50,2024-01-15
2,Beta,234.75,2024-01-16
3,Gamma,456.25,2024-01-17
4,Delta,789.00,2024-01-18
5,Epsilon,321.50,2024-01-19
6,Zeta,654.75,2024-01-20
7,Eta,987.25,2024-01-21
8,Theta,147.50,2024-01-22
9,Iota,258.75,2024-01-23
10,Kappa,369.00,2024-01-24
11,Lambda,741.50,2024-01-25
12,Mu,852.75,2024-01-26
13,Nu,963.25,2024-01-27
14,Xi,159.50,2024-01-28
15,Omicron,357.75,2024-01-29
16,Pi,486.00,2024-01-30
17,Rho,624.50,2024-02-01
18,Sigma,735.75,2024-02-02
19,Tau,846.25,2024-02-03
20,Upsilon,951.50,2024-02-04
21,Phi,168.75,2024-02-05
22,Chi,279.00,2024-02-06
23,Psi,381.50,2024-02-07
24,Omega,492.75,2024-02-08
25,Alpha-2,573.25,2024-02-09
26,Beta-2,684.50,2024-02-10
27,Gamma-2,795.75,2024-02-11
28,Delta-2,816.00,2024-02-12
29,Epsilon-2,927.50,2024-02-13
30,Zeta-2,138.75,2024-02-14